DOI,Device ID
3,1
5,2
5,3
7,3
11,2
13,4
16,2
17,2
19,5
19,2
20,6
34,2
43,2
46,3
49,2
65,3
66,1
68,3
70,1
83,2
84,5
84,7
100,2
